timestamp_iso,block,trial,marker,is_deviant,soa_s,tone_dur_s,std_partials_hz,dev_partials_hz
2025-09-12T14:52:10.725,1,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:11.240,1,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:11.753,1,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:12.266,1,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:12.774,1,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:13.295,1,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:13.809,1,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:14.322,1,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:14.836,1,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:15.350,1,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:15.864,1,11,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:16.378,1,12,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:16.891,1,13,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:17.406,1,14,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:17.920,1,15,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:18.437,1,16,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:18.955,1,17,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:19.468,1,18,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:19.982,1,19,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:20.496,1,20,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:21.010,1,21,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:21.525,1,22,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:22.038,1,23,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:22.551,1,24,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:23.065,1,25,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:23.580,1,26,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:24.093,1,27,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:24.606,1,28,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:25.124,1,29,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:25.641,1,30,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:26.155,1,31,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:26.670,1,32,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:27.184,1,33,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:27.696,1,34,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:28.214,1,35,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:28.727,1,36,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:29.245,1,37,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:30.870,1,38,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:31.384,1,39,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:31.898,1,40,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:32.413,1,41,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:32.925,1,42,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:33.439,1,43,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:33.953,1,44,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:34.467,1,45,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:34.989,1,46,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:35.503,1,47,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:36.015,1,48,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:52:36.523,1,49,1,0,0.5,0.075,500;1000;1500,550;1100;1650
